Date,Bar Name,Brand Name,Actual Demand (ml),Forecast (ml),Par Level (ml),Chosen Model
2023-10-21,Anderson's Bar,Absolut,0.0,118.26428571428572,480,7-day moving average
2023-10-22,Anderson's Bar,Absolut,0.0,118.26428571428572,480,7-day moving average
2023-10-23,Anderson's Bar,Absolut,0.0,71.72857142857143,390,7-day moving average
2023-10-24,Anderson's Bar,Absolut,174.39,71.72857142857143,390,7-day moving average
2023-10-25,Anderson's Bar,Absolut,0.0,96.64142857142858,450,7-day moving average
2023-10-26,Anderson's Bar,Absolut,0.0,96.64142857142858,450,7-day moving average
2023-10-27,Anderson's Bar,Absolut,0.0,24.912857142857142,300,7-day moving average
2023-10-28,Anderson's Bar,Absolut,0.0,24.912857142857142,300,7-day moving average
2023-10-29,Anderson's Bar,Absolut,0.0,24.912857142857142,300,7-day moving average
2023-10-30,Anderson's Bar,Absolut,0.0,24.912857142857142,300,7-day moving average
2023-10-31,Anderson's Bar,Absolut,401.81,24.912857142857142,300,7-day moving average
2023-11-01,Anderson's Bar,Absolut,0.0,57.401428571428575,360,7-day moving average
2023-11-02,Anderson's Bar,Absolut,0.0,57.401428571428575,360,7-day moving average
2023-11-03,Anderson's Bar,Absolut,0.0,57.401428571428575,360,7-day moving average
2023-11-04,Anderson's Bar,Absolut,0.0,57.401428571428575,360,7-day moving average
2023-11-05,Anderson's Bar,Absolut,319.64,57.401428571428575,360,7-day moving average
2023-11-06,Anderson's Bar,Absolut,0.0,103.06428571428572,450,7-day moving average
2023-11-07,Anderson's Bar,Absolut,248.98,103.06428571428572,450,7-day moving average
2023-11-08,Anderson's Bar,Absolut,0.0,81.23142857142857,420,7-day moving average
2023-11-09,Anderson's Bar,Absolut,0.0,81.23142857142857,420,7-day moving average
2023-11-10,Anderson's Bar,Absolut,445.86,81.23142857142857,420,7-day moving average
2023-11-11,Anderson's Bar,Absolut,0.0,144.9257142857143,540,7-day moving average
2023-11-12,Anderson's Bar,Absolut,0.0,144.9257142857143,540,7-day moving average
2023-11-13,Anderson's Bar,Absolut,0.0,99.26285714285714,450,7-day moving average
2023-11-14,Anderson's Bar,Absolut,0.0,99.26285714285714,450,7-day moving average
2023-11-15,Anderson's Bar,Absolut,0.0,63.69428571428572,360,7-day moving average
2023-11-16,Anderson's Bar,Absolut,0.0,63.69428571428572,360,7-day moving average
2023-11-17,Anderson's Bar,Absolut,517.2,63.69428571428572,360,7-day moving average
2023-11-18,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-19,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-20,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-21,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-22,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-23,Anderson's Bar,Absolut,0.0,73.88571428571429,390,7-day moving average
2023-11-24,Anderson's Bar,Absolut,139.16,73.88571428571429,390,7-day moving average
2023-11-25,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-11-26,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-11-27,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-11-28,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-11-29,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-11-30,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-12-01,Anderson's Bar,Absolut,0.0,19.88,270,7-day moving average
2023-12-02,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-03,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-04,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-05,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-06,Anderson's Bar,Absolut,480.21,0.0,240,7-day moving average
2023-12-07,Anderson's Bar,Absolut,504.45,68.60142857142857,390,7-day moving average
2023-12-08,Anderson's Bar,Absolut,0.0,140.66571428571427,540,7-day moving average
2023-12-09,Anderson's Bar,Absolut,0.0,140.66571428571427,540,7-day moving average
2023-12-10,Anderson's Bar,Absolut,130.5,140.66571428571427,540,7-day moving average
2023-12-11,Anderson's Bar,Absolut,0.0,159.3085714285714,570,7-day moving average
2023-12-12,Anderson's Bar,Absolut,0.0,159.3085714285714,570,7-day moving average
2023-12-13,Anderson's Bar,Absolut,0.0,159.3085714285714,570,7-day moving average
2023-12-14,Anderson's Bar,Absolut,0.0,90.70714285714287,420,7-day moving average
2023-12-15,Anderson's Bar,Absolut,0.0,18.642857142857142,270,7-day moving average
2023-12-16,Anderson's Bar,Absolut,160.78,18.642857142857142,270,7-day moving average
2023-12-17,Anderson's Bar,Absolut,0.0,41.61142857142857,330,7-day moving average
2023-12-18,Anderson's Bar,Absolut,186.47,22.96857142857143,300,7-day moving average
2023-12-19,Anderson's Bar,Absolut,0.0,49.607142857142854,330,7-day moving average
2023-12-20,Anderson's Bar,Absolut,0.0,49.607142857142854,330,7-day moving average
2023-12-21,Anderson's Bar,Absolut,0.0,49.607142857142854,330,7-day moving average
2023-12-22,Anderson's Bar,Absolut,0.0,49.607142857142854,330,7-day moving average
2023-12-23,Anderson's Bar,Absolut,0.0,49.607142857142854,330,7-day moving average
2023-12-24,Anderson's Bar,Absolut,0.0,26.638571428571428,300,7-day moving average
2023-12-25,Anderson's Bar,Absolut,0.0,26.638571428571428,300,7-day moving average
2023-12-26,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-27,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-28,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-29,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-30,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-12-31,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2024-01-01,Anderson's Bar,Absolut,0.0,0.0,240,7-day moving average
2023-10-21,Anderson's Bar,Bacardi,0.0,19.360000000000003,450,7-day moving average
2023-10-22,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-10-23,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-10-24,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-10-25,Anderson's Bar,Bacardi,103.08,0.0,420,7-day moving average
2023-10-26,Anderson's Bar,Bacardi,0.0,14.725714285714286,450,7-day moving average
2023-10-27,Anderson's Bar,Bacardi,419.47,14.725714285714286,450,7-day moving average
2023-10-28,Anderson's Bar,Bacardi,0.0,74.65,570,7-day moving average
2023-10-29,Anderson's Bar,Bacardi,0.0,74.65,570,7-day moving average
2023-10-30,Anderson's Bar,Bacardi,0.0,74.65,570,7-day moving average
2023-10-31,Anderson's Bar,Bacardi,0.0,74.65,570,7-day moving average
2023-11-01,Anderson's Bar,Bacardi,0.0,74.65,570,7-day moving average
2023-11-02,Anderson's Bar,Bacardi,0.0,59.924285714285716,540,7-day moving average
2023-11-03,Anderson's Bar,Bacardi,0.0,59.924285714285716,540,7-day moving average
2023-11-04,Anderson's Bar,Bacardi,462.03,0.0,420,7-day moving average
2023-11-05,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-06,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-07,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-08,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-09,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-10,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-11,Anderson's Bar,Bacardi,0.0,66.00428571428571,540,7-day moving average
2023-11-12,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-13,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-14,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-15,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-16,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-17,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-18,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-19,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-20,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-21,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-22,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-23,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
