Bar Name,Brand Name,Chosen Model,Validation WAPE,Test WAPE,RMSE (ml)
Anderson's Bar,Absolut,7-day moving average,1.650199834879878,1.754729137742792,98.80763263230068
Anderson's Bar,Bacardi,7-day moving average,1.604829295535264,1.4343812083674183,174.38261223871356
Anderson's Bar,Barefoot,day-of-week seasonal mean,1.496433695759661,2.3021352042579664,171.82592823506127
Anderson's Bar,Budweiser,day-of-week seasonal mean,1.7276224198365229,,117.07754628449386
Anderson's Bar,Captain Morgan,day-of-week seasonal mean,1.5536787756014592,1.7981758007561885,181.73360256580258
Anderson's Bar,Coors,7-day moving average,1.6619167143812796,1.5333495279608227,155.38080281735688
Anderson's Bar,Grey Goose,7-day moving average,1.7131355061221194,1.7135257460354991,158.82709284514513
Anderson's Bar,Heineken,7-day moving average,1.7434451298422338,1.8202216285538444,146.70936996360334
Anderson's Bar,Jack Daniels,7-day moving average,1.5849415208655326,1.6196136760848745,145.05557599440877
Anderson's Bar,Jameson,7-day moving average,1.7068173465473635,1.7150120264223905,163.48515287618963
Anderson's Bar,Jim Beam,7-day moving average,1.5428985204930437,1.5753245290084124,158.97466081237025
Anderson's Bar,Malibu,7-day moving average,1.7166647466416876,1.7228210157840909,131.28441850681412
Anderson's Bar,Miller,day-of-week seasonal mean,1.6881784400896078,2.578411736343801,164.78799816501947
Anderson's Bar,Smirnoff,7-day moving average,1.6294141846298984,1.6549593157152587,161.16989785964313
Anderson's Bar,Sutter Home,day-of-week seasonal mean,1.6567700903308653,1.7728849773766235,176.00616174691322
Anderson's Bar,Yellow Tail,day-of-week seasonal mean,1.719499529210987,1.3541202750178216,155.8433807076151
Brown's Bar,Absolut,7-day moving average,1.6896134390148951,1.7633338087235975,136.73204200432997
Brown's Bar,Bacardi,day-of-week seasonal mean,1.5971949949312452,1.6107282233079123,151.3146646735528
Brown's Bar,Barefoot,7-day moving average,1.766575167845389,1.6419256549173866,144.7657890548651
Brown's Bar,Budweiser,day-of-week seasonal mean,1.7057951454733162,1.9019685571819454,142.98749614063266
Brown's Bar,Captain Morgan,7-day moving average,1.631245126138301,1.9579265876589462,143.82808548124336
Brown's Bar,Coors,7-day moving average,1.911199472825641,1.573431592198882,108.19210486178893
Brown's Bar,Grey Goose,7-day moving average,1.5666996059041107,1.6737710417776723,173.9248532028935
Brown's Bar,Heineken,day-of-week seasonal mean,1.6725438978664455,1.994985522482629,148.92746992505872
Brown's Bar,Jack Daniels,7-day moving average,1.646732205455557,1.8751219958521412,143.88180098191896
Brown's Bar,Jameson,day-of-week seasonal mean,1.6013653523051807,1.5125608717916936,158.49535761650046
Brown's Bar,Jim Beam,day-of-week seasonal mean,1.58995679051106,1.7196536287100257,159.3822070905492
Brown's Bar,Malibu,7-day moving average,1.698748686208436,1.4551855176765685,144.6826042623971
Brown's Bar,Miller,day-of-week seasonal mean,1.5525460661299553,2.8885984427141262,150.28402878032702
Brown's Bar,Smirnoff,7-day moving average,1.5617245244357942,1.674689889460832,127.34068222429644
Brown's Bar,Sutter Home,7-day moving average,1.5187949311314748,1.5923127165558166,150.05440102304328
