Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-10-21,Anderson's Bar,Absolut,0.0,118.26428571428572,480,480.0,0.0,0.0,False
2023-10-22,Anderson's Bar,Absolut,0.0,118.26428571428572,480,480.0,0.0,0.0,False
2023-10-23,Anderson's Bar,Absolut,0.0,71.72857142857143,390,480.0,0.0,0.0,False
2023-10-24,Anderson's Bar,Absolut,174.39,71.72857142857143,390,305.61,84.38999999999999,0.0,False
2023-10-25,Anderson's Bar,Absolut,0.0,96.64142857142858,450,305.61,60.0,0.0,False
2023-10-26,Anderson's Bar,Absolut,0.0,96.64142857142858,450,390.0,0.0,0.0,False
2023-10-27,Anderson's Bar,Absolut,0.0,24.912857142857142,300,450.0,0.0,0.0,False
2023-10-28,Anderson's Bar,Absolut,0.0,24.912857142857142,300,450.0,0.0,0.0,False
2023-10-29,Anderson's Bar,Absolut,0.0,24.912857142857142,300,450.0,0.0,0.0,False
2023-10-30,Anderson's Bar,Absolut,0.0,24.912857142857142,300,450.0,0.0,0.0,False
2023-10-31,Anderson's Bar,Absolut,401.81,24.912857142857142,300,48.19,251.81,0.0,False
2023-11-01,Anderson's Bar,Absolut,0.0,57.401428571428575,360,48.19,60.0,0.0,False
2023-11-02,Anderson's Bar,Absolut,0.0,57.401428571428575,360,300.0,0.0,0.0,False
2023-11-03,Anderson's Bar,Absolut,0.0,57.401428571428575,360,360.0,0.0,0.0,False
2023-11-04,Anderson's Bar,Absolut,0.0,57.401428571428575,360,360.0,0.0,0.0,False
2023-11-05,Anderson's Bar,Absolut,319.64,57.401428571428575,360,40.360000000000014,319.64,0.0,False
2023-11-06,Anderson's Bar,Absolut,0.0,103.06428571428572,450,40.360000000000014,90.0,0.0,False
2023-11-07,Anderson's Bar,Absolut,248.98,103.06428571428572,450,111.02000000000001,248.98,0.0,False
2023-11-08,Anderson's Bar,Absolut,0.0,81.23142857142857,420,201.02,0.0,0.0,False
2023-11-09,Anderson's Bar,Absolut,0.0,81.23142857142857,420,450.0,0.0,0.0,False
2023-11-10,Anderson's Bar,Absolut,445.86,81.23142857142857,420,4.139999999999986,415.86,0.0,False
